CODMUNRES,ano_nasc,Qtd_2Robson,Qtd_Total
140015,2013,0,327
140015,2014,17,325
140015,2015,31,355
140015,2016,17,365
140015,2017,16,377
140015,2018,23,391
140015,2019,27,470
140017,2012,48,315
140017,2013,0,335
140017,2014,28,362
140017,2015,24,327
140017,2016,21,315
140017,2017,32,352
140017,2018,22,337
140017,2019,28,385
140020,2012,70,425
140020,2013,0,424
140020,2014,28,393
140020,2015,41,414
140020,2016,35,381
140020,2017,38,407
140020,2018,30,406
140020,2019,27,445
140023,2012,28,138
140023,2013,0,151
140023,2014,17,154
140023,2015,10,139
140023,2016,9,145
140023,2017,11,183
140023,2018,17,181
140023,2019,10,204
140028,2012,29,173
140028,2013,0,147
140028,2014,14,156
140028,2015,16,169
140028,2016,11,138
140028,2017,13,154
140028,2018,10,138
140028,2019,23,185
140030,2012,46,270
140030,2013,0,351
140030,2014,28,299
140030,2015,27,341
140030,2016,27,308
140030,2017,32,309
140030,2018,31,325
140030,2019,44,372
140040,2012,32,319
140040,2013,0,381
140040,2014,9,376
140040,2015,18,442
140040,2016,12,428
140040,2017,17,415
140040,2018,23,463
140040,2019,22,489
140045,2012,37,327
140045,2013,0,351
140045,2014,20,340
140045,2015,26,361
140045,2016,18,357
140045,2017,13,380
140045,2018,24,423
140045,2019,49,556
140047,2012,74,422
140047,2013,0,422
140047,2014,48,442
140047,2015,25,527
140047,2016,50,542
140047,2017,9,563
140047,2018,19,628
140047,2019,10,567
140050,2012,22,116
140050,2013,0,120
140050,2014,11,117
140050,2015,15,117
140050,2016,15,104
140050,2017,7,122
140050,2018,3,119
140050,2019,6,131
140060,2012,19,84
140060,2013,0,80
140060,2014,6,67
140060,2015,7,91
140060,2016,8,83
140060,2017,4,106
140060,2018,4,86
140060,2019,4,107
140070,2012,25,432
140070,2013,0,459
140070,2014,11,466
140070,2015,15,518
140070,2016,16,509
140070,2017,13,445
140070,2018,22,513
140070,2019,18,616
150000,2012,0,4
150000,2013,0,8
150000,2014,0,2
150000,2015,2,2
150000,2016,0,2
150000,2017,0,2
150000,2018,1,1
150000,2019,0,3
150010,2012,193,2530
150010,2013,0,2538
150010,2014,265,2705
150010,2015,239,2660
150010,2016,184,2532
150010,2017,170,2713
150010,2018,160,2671
150010,2019,93,2623
150013,2012,2,114
150013,2013,0,129
150013,2014,10,100
150013,2015,13,143
150013,2016,10,117
150013,2017,13,142
150013,2018,16,130
150013,2019,11,132
150020,2012,34,966
150020,2013,0,1039
150020,2014,77,1116
150020,2015,36,936
150020,2016,29,996
150020,2017,56,992
150020,2018,45,1013
150020,2019,46,980
150030,2012,94,805
150030,2013,0,788
150030,2014,64,806
150030,2015,85,871
150030,2016,108,911
150030,2017,133,968
150030,2018,151,1022
150030,2019,169,1014
150034,2012,14,164
150034,2013,0,190
150034,2014,12,182
150034,2015,9,199
150034,2016,14,163
150034,2017,7,215
150034,2018,7,223
150034,2019,7,225
150040,2012,51,1138
150040,2013,0,1126
150040,2014,73,1133
150040,2015,108,1133
150040,2016,82,1031
150040,2017,58,1132
150040,2018,49,1190
150040,2019,56,1194
150050,2012,29,693
150050,2013,0,754
150050,2014,34,801
150050,2015,31,797
150050,2016,24,739
150050,2017,23,745
150050,2018,39,780
150050,2019,41,779
150060,2012,75,2105
150060,2013,0,2529
150060,2014,167,2866
150060,2015,246,2991
150060,2016,345,2846
150060,2017,267,2487
150060,2018,281,2568
150060,2019,284,2371
150070,2012,30,751
150070,2013,0,736
150070,2014,13,737
150070,2015,16,742
150070,2016,11,819
150070,2017,16,855
150070,2018,20,871
150070,2019,19,837
150080,2012,852,8195
150080,2013,0,8035
150080,2014,751,8282
150080,2015,582,8397
150080,2016,666,8011
150080,2017,587,7940
150080,2018,542,7772
150080,2019,485,7408
150085,2012,13,530
150085,2013,0,531
150085,2014,18,542
150085,2015,22,600
150085,2016,17,575
150085,2017,19,630
150085,2018,24,656
150085,2019,41,652
150090,2012,25,965
150090,2013,0,1050
150090,2014,12,990
150090,2015,6,954
150090,2016,13,954
150090,2017,8,935
150090,2018,7,901
150090,2019,5,809
150095,2012,21,372
150095,2013,0,418
150095,2014,11,472
150095,2015,18,440
150095,2016,24,395
150095,2017,51,401
150095,2018,21,368
150095,2019,32,425
150100,2012,6,206
150100,2013,0,215
150100,2014,3,194
150100,2015,5,198
150100,2016,7,205
150100,2017,4,160
150100,2018,6,182
150100,2019,3,146
150110,2012,21,465
150110,2013,0,460
150110,2014,6,548
150110,2015,8,556
150110,2016,18,562
150110,2017,9,553
150110,2018,13,582
150110,2019,9,549
150120,2012,71,538
