CODMUNRES,ano_nasc,Qtd_Baixo_Peso,Qtd_Total
130395,2016,6,178
130395,2017,20,206
130395,2018,12,186
130395,2019,7,200
130400,2012,15,181
130400,2013,6,208
130400,2014,9,180
130400,2015,10,202
130400,2016,6,208
130400,2017,9,246
130400,2018,12,197
130400,2019,10,229
130406,2012,115,1632
130406,2013,117,1619
130406,2014,128,1820
130406,2015,104,1615
130406,2016,127,1753
130406,2017,112,1701
130406,2018,111,1685
130406,2019,121,1770
130410,2012,22,401
130410,2013,31,421
130410,2014,25,391
130410,2015,23,439
130410,2016,25,389
130410,2017,33,405
130410,2018,19,394
130410,2019,26,432
130420,2012,117,1558
130420,2013,165,1732
130420,2014,117,1589
130420,2015,133,1754
130420,2016,152,1679
130420,2017,138,1763
130420,2018,127,1822
130420,2019,154,1927
130423,2012,24,348
130423,2013,21,322
130423,2014,35,366
130423,2015,38,391
130423,2016,23,363
130423,2017,26,458
130423,2018,21,435
130423,2019,27,429
130426,2012,33,288
130426,2013,11,304
130426,2014,25,302
130426,2015,27,295
130426,2016,15,264
130426,2017,23,333
130426,2018,16,286
130426,2019,19,351
130430,2012,21,298
130430,2013,15,302
130430,2014,14,284
130430,2015,10,272
130430,2016,14,265
130430,2017,14,270
130430,2018,22,261
130430,2019,27,318
130440,2012,15,321
130440,2013,11,325
130440,2014,21,329
130440,2015,16,282
130440,2016,19,299
130440,2017,13,315
130440,2018,23,313
130440,2019,24,321
140000,2012,0,2
140000,2013,0,8
140000,2014,2,7
140000,2015,0,3
140000,2016,0,1
140000,2018,0,1
140002,2012,42,308
140002,2013,34,307
140002,2014,34,298
140002,2015,44,339
140002,2016,35,331
140002,2017,42,355
140002,2018,81,433
140002,2019,74,446
140005,2012,65,600
140005,2013,69,601
140005,2014,72,563
140005,2015,100,550
140005,2016,108,620
140005,2017,67,526
140005,2018,133,737
140005,2019,132,711
140010,2012,449,6358
140010,2013,456,6350
140010,2014,474,6755
140010,2015,540,6719
140010,2016,560,6749
140010,2017,550,7043
140010,2018,651,8163
140010,2019,721,8936
140015,2012,13,312
140015,2013,23,327
140015,2014,23,325
140015,2015,24,355
140015,2016,23,365
140015,2017,23,377
140015,2018,21,391
140015,2019,36,470
140017,2012,23,315
140017,2013,32,335
140017,2014,37,362
140017,2015,31,327
140017,2016,27,315
140017,2017,18,352
140017,2018,38,337
140017,2019,27,385
140020,2012,42,425
140020,2013,25,424
140020,2014,15,393
140020,2015,33,414
140020,2016,27,381
140020,2017,38,407
140020,2018,47,406
140020,2019,33,445
140023,2012,8,138
140023,2013,9,151
140023,2014,14,154
140023,2015,10,139
140023,2016,8,145
140023,2017,6,183
140023,2018,11,181
140023,2019,13,204
140028,2012,19,173
140028,2013,16,147
140028,2014,19,156
140028,2015,18,169
140028,2016,18,138
140028,2017,18,154
140028,2018,21,138
140028,2019,20,185
140030,2012,20,270
140030,2013,22,351
140030,2014,28,299
140030,2015,26,341
140030,2016,30,308
140030,2017,31,309
140030,2018,28,325
140030,2019,28,372
140040,2012,24,319
140040,2013,18,381
140040,2014,19,376
140040,2015,25,442
140040,2016,33,428
140040,2017,34,415
140040,2018,36,463
140040,2019,27,489
140045,2012,26,327
140045,2013,24,351
140045,2014,11,340
140045,2015,27,361
140045,2016,31,357
140045,2017,25,380
140045,2018,29,423
140045,2019,62,556
140047,2012,31,422
140047,2013,26,422
140047,2014,31,442
140047,2015,40,527
140047,2016,48,542
140047,2017,28,563
140047,2018,40,628
140047,2019,39,567
140050,2012,10,116
140050,2013,9,120
140050,2014,10,117
140050,2015,5,117
140050,2016,10,104
140050,2017,10,122
140050,2018,10,119
140050,2019,11,131
140060,2012,5,84
140060,2013,4,80
140060,2014,5,67
140060,2015,5,91
140060,2016,10,83
140060,2017,7,106
140060,2018,4,86
140060,2019,11,107
140070,2012,24,432
140070,2013,41,459
140070,2014,33,466
140070,2015,49,518
140070,2016,40,509
140070,2017,35,445
140070,2018,36,513
140070,2019,51,616
150000,2012,2,4
150000,2013,4,8
150000,2014,1,2
150000,2015,1,2
150000,2016,0,2
150000,2017,0,2
150000,2018,0,1
150000,2019,0,3
150010,2012,213,2530
150010,2013,199,2538
150010,2014,179,2705
150010,2015,230,2660
150010,2016,215,2532
150010,2017,210,2713
150010,2018,203,2671
150010,2019,197,2623
150013,2012,7,114
150013,2013,6,129
150013,2014,8,100
150013,2015,9,143
150013,2016,4,117
150013,2017,14,142
150013,2018,4,130
150013,2019,9,132
150020,2012,77,966
150020,2013,79,1039
150020,2014,66,1116
150020,2015,88,936
150020,2016,75,996
150020,2017,92,992
150020,2018,73,1013
150020,2019,77,980
150030,2012,71,805
150030,2013,72,788
150030,2014,68,806
150030,2015,72,871
150030,2016,72,911
150030,2017,65,968
150030,2018,83,1022
150030,2019,86,1014
150034,2012,14,164
150034,2013,9,190
150034,2014,14,182
150034,2015,10,199
150034,2016,16,163
150034,2017,19,215
150034,2018,15,223
150034,2019,18,225
150040,2012,64,1138
150040,2013,73,1126
150040,2014,84,1133
