CODMUNRES,ano_nasc,Qtd_Robson,Qtd_Total
140030,2017,0,309
140030,2018,0,325
140030,2019,0,372
140040,2012,3,319
140040,2013,0,381
140040,2014,0,376
140040,2015,5,442
140040,2016,5,428
140040,2017,0,415
140040,2018,6,463
140040,2019,1,489
140045,2012,1,327
140045,2013,0,351
140045,2014,0,340
140045,2015,0,361
140045,2016,0,357
140045,2017,0,380
140045,2018,0,423
140045,2019,0,556
140047,2012,10,422
140047,2013,0,422
140047,2014,27,442
140047,2015,56,527
140047,2016,1,542
140047,2017,0,563
140047,2018,1,628
140047,2019,0,567
140050,2012,0,116
140050,2013,0,120
140050,2014,0,117
140050,2015,7,117
140050,2016,0,104
140050,2017,1,122
140050,2018,4,119
140050,2019,0,131
140060,2012,2,84
140060,2013,0,80
140060,2014,1,67
140060,2015,3,91
140060,2016,0,83
140060,2017,0,106
140060,2018,0,86
140060,2019,0,107
140070,2012,4,432
140070,2013,0,459
140070,2014,0,466
140070,2015,3,518
140070,2016,1,509
140070,2017,1,445
140070,2018,0,513
140070,2019,1,616
150000,2012,0,4
150000,2013,0,8
150000,2014,0,2
150000,2015,0,2
150000,2016,0,2
150000,2017,0,2
150000,2018,0,1
150000,2019,0,3
150010,2012,52,2530
150010,2013,0,2538
150010,2014,108,2705
150010,2015,144,2660
150010,2016,139,2532
150010,2017,124,2713
150010,2018,98,2671
150010,2019,1367,2623
150013,2012,9,114
150013,2013,0,129
150013,2014,3,100
150013,2015,2,143
150013,2016,1,117
150013,2017,5,142
150013,2018,8,130
150013,2019,16,132
150020,2012,55,966
150020,2013,0,1039
150020,2014,73,1116
150020,2015,224,936
150020,2016,448,996
150020,2017,63,992
150020,2018,35,1013
150020,2019,51,980
150030,2012,223,805
150030,2013,0,788
150030,2014,150,806
150030,2015,96,871
150030,2016,137,911
150030,2017,104,968
150030,2018,76,1022
150030,2019,66,1014
150034,2012,1,164
150034,2013,0,190
150034,2014,76,182
150034,2015,23,199
150034,2016,14,163
150034,2017,29,215
150034,2018,29,223
150034,2019,41,225
150040,2012,32,1138
150040,2013,0,1126
150040,2014,5,1133
150040,2015,10,1133
150040,2016,7,1031
150040,2017,7,1132
150040,2018,8,1190
150040,2019,10,1194
150050,2012,106,693
150050,2013,0,754
150050,2014,72,801
150050,2015,89,797
150050,2016,72,739
150050,2017,56,745
150050,2018,57,780
150050,2019,124,779
150060,2012,48,2105
150060,2013,0,2529
150060,2014,256,2866
150060,2015,427,2991
150060,2016,87,2846
150060,2017,129,2487
150060,2018,99,2568
150060,2019,47,2371
150070,2012,126,751
150070,2013,0,736
150070,2014,204,737
150070,2015,185,742
150070,2016,365,819
150070,2017,40,855
150070,2018,5,871
150070,2019,4,837
150080,2012,532,8195
150080,2013,0,8035
150080,2014,435,8282
150080,2015,860,8397
150080,2016,1337,8011
150080,2017,1088,7940
150080,2018,592,7772
150080,2019,797,7408
150085,2012,35,530
150085,2013,0,531
150085,2014,65,542
150085,2015,93,600
150085,2016,46,575
150085,2017,10,630
150085,2018,7,656
150085,2019,6,652
150090,2012,69,965
150090,2013,0,1050
150090,2014,137,990
150090,2015,85,954
150090,2016,126,954
150090,2017,120,935
150090,2018,111,901
150090,2019,72,809
150095,2012,11,372
150095,2013,0,418
150095,2014,17,472
150095,2015,15,440
150095,2016,17,395
150095,2017,24,401
150095,2018,17,368
150095,2019,15,425
150100,2012,4,206
150100,2013,0,215
150100,2014,0,194
150100,2015,5,198
150100,2016,5,205
150100,2017,1,160
150100,2018,9,182
150100,2019,6,146
150110,2012,32,465
150110,2013,0,460
150110,2014,278,548
150110,2015,290,556
150110,2016,259,562
150110,2017,212,553
150110,2018,192,582
150110,2019,20,549
150120,2012,13,538
