CODMUNRES,ano_nasc,Qtd_Menor20,Qtd_Total
130300,2012,141,344
130300,2013,116,301
130300,2014,133,357
130300,2015,143,356
130300,2016,121,338
130300,2017,131,358
130300,2018,110,314
130300,2019,116,346
130310,2012,228,591
130310,2013,270,628
130310,2014,247,619
130310,2015,257,593
130310,2016,253,587
130310,2017,241,592
130310,2018,219,612
130310,2019,219,546
130320,2012,107,257
130320,2013,98,246
130320,2014,128,307
130320,2015,137,316
130320,2016,111,289
130320,2017,121,333
130320,2018,128,327
130320,2019,119,310
130330,2012,145,321
130330,2013,165,351
130330,2014,127,344
130330,2015,172,409
130330,2016,163,386
130330,2017,160,406
130330,2018,146,379
130330,2019,164,392
130340,2012,762,2021
130340,2013,751,2133
130340,2014,771,2056
130340,2015,717,1995
130340,2016,685,1932
130340,2017,752,2139
130340,2018,733,2067
130340,2019,666,1947
130350,2012,115,308
130350,2013,146,367
130350,2014,139,364
130350,2015,157,374
130350,2016,162,348
130350,2017,144,355
130350,2018,171,362
130350,2019,158,369
130353,2012,195,556
130353,2013,200,580
130353,2014,195,585
130353,2015,182,558
130353,2016,182,548
130353,2017,167,523
130353,2018,197,558
130353,2019,168,513
130356,2012,130,361
130356,2013,132,374
130356,2014,152,412
130356,2015,140,391
130356,2016,141,415
130356,2017,122,422
130356,2018,118,431
130356,2019,134,440
130360,2012,117,344
130360,2013,102,279
130360,2014,73,225
130360,2015,103,301
130360,2016,100,305
130360,2017,141,370
130360,2018,140,372
130360,2019,114,322
130370,2012,228,603
130370,2013,228,576
130370,2014,248,652
130370,2015,270,718
130370,2016,262,693
130370,2017,294,724
130370,2018,268,704
130370,2019,304,773
130380,2012,307,1119
130380,2013,325,1143
130380,2014,340,1254
130380,2015,326,1120
130380,2016,356,1255
130380,2017,327,1214
130380,2018,352,1227
130380,2019,416,1436
130390,2012,297,959
130390,2013,303,914
130390,2014,284,987
130390,2015,248,753
130390,2016,271,871
130390,2017,324,999
130390,2018,308,935
130390,2019,292,956
130395,2012,87,178
130395,2013,83,160
130395,2014,67,163
130395,2015,85,180
130395,2016,72,178
130395,2017,95,206
130395,2018,68,186
130395,2019,77,200
130400,2012,68,181
130400,2013,78,208
130400,2014,73,180
130400,2015,68,202
130400,2016,75,208
130400,2017,97,246
130400,2018,83,197
130400,2019,88,229
130406,2012,526,1632
130406,2013,523,1619
130406,2014,530,1820
130406,2015,508,1615
130406,2016,536,1753
130406,2017,551,1701
130406,2018,513,1685
130406,2019,535,1770
130410,2012,170,401
130410,2013,190,421
130410,2014,160,391
130410,2015,173,439
130410,2016,163,389
130410,2017,168,405
130410,2018,173,394
130410,2019,179,432
130420,2012,612,1558
130420,2013,703,1732
130420,2014,643,1589
130420,2015,698,1754
130420,2016,687,1679
130420,2017,714,1763
130420,2018,710,1822
130420,2019,773,1927
130423,2012,132,348
130423,2013,111,322
130423,2014,128,366
130423,2015,147,391
130423,2016,138,363
130423,2017,163,458
130423,2018,158,435
130423,2019,154,429
130426,2012,145,288
130426,2013,142,304
130426,2014,138,302
130426,2015,132,295
130426,2016,110,264
130426,2017,150,333
130426,2018,135,286
130426,2019,163,351
130430,2012,125,298
130430,2013,122,302
130430,2014,124,284
130430,2015,103,272
130430,2016,110,265
130430,2017,99,270
130430,2018,104,261
130430,2019,121,318
130440,2012,119,321
130440,2013,135,325
130440,2014,129,329
130440,2015,108,282
130440,2016,112,299
130440,2017,124,315
130440,2018,126,313
130440,2019,114,321
140000,2012,0,2
140000,2013,3,8
140000,2014,1,7
140000,2015,2,3
140000,2016,0,1
140000,2018,0,1
140002,2012,104,308
140002,2013,119,307
140002,2014,101,298
140002,2015,120,339
140002,2016,119,331
140002,2017,141,355
140002,2018,150,433
140002,2019,163,446
140005,2012,208,600
140005,2013,220,601
140005,2014,194,563
140005,2015,208,550
140005,2016,240,620
140005,2017,188,526
140005,2018,300,737
140005,2019,273,711
140010,2012,1854,6358
140010,2013,1793,6350
140010,2014,1969,6755
140010,2015,1819,6719
140010,2016,1831,6749
140010,2017,1805,7043
140010,2018,1983,8163
140010,2019,2203,8936
140015,2012,111,312
140015,2013,113,327
140015,2014,129,325
140015,2015,125,355
140015,2016,133,365
140015,2017,127,377
140015,2018,133,391
140015,2019,150,470
140017,2012,123,315
140017,2013,127,335
140017,2014,135,362
140017,2015,105,327
140017,2016,102,315
140017,2017,114,352
140017,2018,99,337
140017,2019,120,385
140020,2012,167,425
140020,2013,172,424
140020,2014,148,393
140020,2015,154,414
140020,2016,141,381
140020,2017,151,407
140020,2018,164,406
140020,2019,150,445
140023,2012,52,138
140023,2013,40,151
140023,2014,57,154
140023,2015,47,139
140023,2016,50,145
140023,2017,55,183
140023,2018,55,181
140023,2019,61,204
140028,2012,66,173
140028,2013,58,147
140028,2014,52,156
140028,2015,55,169
140028,2016,47,138
140028,2017,51,154
140028,2018,48,138
140028,2019,58,185
140030,2012,89,270
140030,2013,119,351
140030,2014,103,299
140030,2015,108,341
140030,2016,104,308
140030,2017,110,309
140030,2018,103,325
140030,2019,121,372
140040,2012,112,319
140040,2013,135,381
140040,2014,125,376
140040,2015,153,442
140040,2016,145,428
140040,2017,146,415
140040,2018,180,463
140040,2019,160,489
140045,2012,110,327
140045,2013,125,351
140045,2014,130,340
140045,2015,132,361
140045,2016,126,357
140045,2017,125,380
140045,2018,145,423
140045,2019,161,556
140047,2012,155,422
140047,2013,158,422
140047,2014,155,442
140047,2015,171,527
140047,2016,200,542
140047,2017,191,563
140047,2018,189,628
140047,2019,158,567
140050,2012,34,116
140050,2013,48,120
140050,2014,41,117
140050,2015,31,117
140050,2016,33,104
140050,2017,36,122
140050,2018,34,119
140050,2019,43,131
140060,2012,21,84
140060,2013,25,80
140060,2014,18,67
140060,2015,28,91
140060,2016,27,83
140060,2017,31,106
140060,2018,26,86
140060,2019,24,107
140070,2012,157,432
140070,2013,167,459
140070,2014,169,466
140070,2015,184,518
140070,2016,180,509
140070,2017,151,445
140070,2018,199,513
140070,2019,191,616
150000,2012,0,4
150000,2013,2,8
150000,2014,0,2
150000,2015,1,2
150000,2016,0,2
150000,2017,0,2
150000,2018,1,1
150000,2019,1,3
150010,2012,885,2530
150010,2013,892,2538
150010,2014,873,2705
150010,2015,857,2660
150010,2016,744,2532
150010,2017,748,2713
150010,2018,763,2671
150010,2019,652,2623
150013,2012,40,114
150013,2013,45,129
150013,2014,39,100
150013,2015,45,143
150013,2016,43,117
150013,2017,54,142
150013,2018,48,130
150013,2019,49,132
150020,2012,395,966
150020,2013,422,1039
150020,2014,403,1116
150020,2015,363,936
150020,2016,370,996
150020,2017,355,992
150020,2018,368,1013
150020,2019,345,980
150030,2012,303,805
150030,2013,291,788
150030,2014,288,806
150030,2015,324,871
150030,2016,342,911
150030,2017,353,968
150030,2018,367,1022
150030,2019,365,1014
150034,2012,72,164
150034,2013,56,190
150034,2014,68,182
150034,2015,56,199
150034,2016,58,163
150034,2017,78,215
150034,2018,64,223
150034,2019,68,225
150040,2012,408,1138
150040,2013,405,1126
150040,2014,402,1133
150040,2015,390,1133
150040,2016,341,1031
150040,2017,352,1132
150040,2018,415,1190
150040,2019,349,1194
150050,2012,273,693
150050,2013,302,754
150050,2014,329,801
150050,2015,317,797
150050,2016,293,739
150050,2017,261,745
150050,2018,280,780
150050,2019,264,779
150060,2012,824,2105
150060,2013,903,2529
150060,2014,994,2866
150060,2015,1047,2991
150060,2016,914,2846
150060,2017,789,2487
150060,2018,750,2568
150060,2019,653,2371
150070,2012,294,751
150070,2013,296,736
150070,2014,265,737
150070,2015,288,742
150070,2016,299,819
150070,2017,314,855
150070,2018,328,871
150070,2019,313,837
150080,2012,2392,8195
150080,2013,2285,8035
150080,2014,2365,8282
150080,2015,2220,8397
150080,2016,2003,8011
150080,2017,1885,7940
150080,2018,1764,7772
150080,2019,1543,7408
150085,2012,214,530
150085,2013,204,531
150085,2014,228,542
150085,2015,236,600
150085,2016,225,575
150085,2017,246,630
150085,2018,251,656
150085,2019,230,652
150090,2012,385,965
150090,2013,399,1050
150090,2014,377,990
150090,2015,352,954
150090,2016,351,954
150090,2017,329,935
150090,2018,305,901
150090,2019,297,809
150095,2012,149,372
150095,2013,148,418
150095,2014,174,472
150095,2015,171,440
150095,2016,160,395
150095,2017,171,401
150095,2018,127,368
