CODMUNRES,ano_nasc,Qtd_7a_serie,Qtd_Total
140030,2014,90,299
140030,2015,85,341
140030,2016,87,308
140030,2017,80,309
140030,2018,77,325
140030,2019,97,372
140040,2012,135,319
140040,2013,150,381
140040,2014,126,376
140040,2015,189,442
140040,2016,162,428
140040,2017,134,415
140040,2018,130,463
140040,2019,121,489
140045,2012,112,327
140045,2013,113,351
140045,2014,132,340
140045,2015,142,361
140045,2016,101,357
140045,2017,106,380
140045,2018,135,423
140045,2019,116,556
140047,2012,152,422
140047,2013,143,422
140047,2014,134,442
140047,2015,172,527
140047,2016,113,542
140047,2017,100,563
140047,2018,111,628
140047,2019,89,567
140050,2012,29,116
140050,2013,28,120
140050,2014,25,117
140050,2015,30,117
140050,2016,18,104
140050,2017,31,122
140050,2018,29,119
140050,2019,17,131
140060,2012,27,84
140060,2013,20,80
140060,2014,17,67
140060,2015,25,91
140060,2016,13,83
140060,2017,20,106
140060,2018,21,86
140060,2019,12,107
140070,2012,152,432
140070,2013,222,459
140070,2014,256,466
140070,2015,331,518
140070,2016,304,509
140070,2017,227,445
140070,2018,226,513
140070,2019,290,616
150000,2012,1,4
150000,2013,2,8
150000,2014,0,2
150000,2015,0,2
150000,2016,0,2
150000,2017,1,2
150000,2018,0,1
150000,2019,1,3
150010,2012,1026,2530
150010,2013,849,2538
150010,2014,829,2705
150010,2015,802,2660
150010,2016,790,2532
150010,2017,704,2713
150010,2018,624,2671
150010,2019,908,2623
150013,2012,56,114
150013,2013,56,129
150013,2014,45,100
150013,2015,63,143
150013,2016,51,117
150013,2017,39,142
150013,2018,48,130
150013,2019,48,132
150020,2012,555,966
150020,2013,618,1039
150020,2014,594,1116
150020,2015,470,936
150020,2016,468,996
150020,2017,492,992
150020,2018,453,1013
150020,2019,406,980
150030,2012,588,805
150030,2013,527,788
150030,2014,539,806
150030,2015,551,871
150030,2016,604,911
150030,2017,587,968
150030,2018,589,1022
150030,2019,551,1014
150034,2012,79,164
150034,2013,60,190
150034,2014,78,182
150034,2015,93,199
150034,2016,66,163
150034,2017,90,215
150034,2018,100,223
150034,2019,82,225
150040,2012,639,1138
150040,2013,582,1126
150040,2014,580,1133
150040,2015,556,1133
150040,2016,459,1031
150040,2017,486,1132
150040,2018,486,1190
150040,2019,465,1194
150050,2012,356,693
150050,2013,369,754
150050,2014,412,801
