CODMUNRES,ano_nasc,Qtd_Robson,Qtd_Total
140070,2019,56,616
150000,2012,1,4
150000,2013,0,8
150000,2014,1,2
150000,2015,0,2
150000,2016,0,2
150000,2017,0,2
150000,2018,0,1
150000,2019,2,3
150010,2012,424,2530
150010,2013,0,2538
150010,2014,501,2705
150010,2015,481,2660
150010,2016,496,2532
150010,2017,581,2713
150010,2018,571,2671
150010,2019,285,2623
150013,2012,17,114
150013,2013,0,129
150013,2014,26,100
150013,2015,31,143
150013,2016,25,117
150013,2017,26,142
150013,2018,20,130
150013,2019,29,132
150020,2012,78,966
150020,2013,0,1039
150020,2014,131,1116
150020,2015,104,936
150020,2016,101,996
150020,2017,134,992
150020,2018,145,1013
150020,2019,156,980
150030,2012,51,805
150030,2013,0,788
150030,2014,66,806
150030,2015,61,871
150030,2016,67,911
150030,2017,89,968
150030,2018,90,1022
150030,2019,118,1014
150034,2012,26,164
150034,2013,0,190
150034,2014,40,182
150034,2015,69,199
150034,2016,36,163
150034,2017,71,215
150034,2018,100,223
150034,2019,77,225
150040,2012,89,1138
150040,2013,0,1126
150040,2014,72,1133
150040,2015,74,1133
150040,2016,74,1031
150040,2017,101,1132
150040,2018,101,1190
150040,2019,116,1194
150050,2012,92,693
150050,2013,0,754
150050,2014,82,801
150050,2015,93,797
150050,2016,81,739
150050,2017,109,745
150050,2018,100,780
150050,2019,92,779
150060,2012,142,2105
150060,2013,0,2529
150060,2014,451,2866
150060,2015,492,2991
150060,2016,543,2846
150060,2017,522,2487
150060,2018,630,2568
150060,2019,559,2371
150070,2012,44,751
150070,2013,0,736
150070,2014,42,737
150070,2015,44,742
150070,2016,38,819
150070,2017,59,855
150070,2018,72,871
150070,2019,69,837
150080,2012,1520,8195
150080,2013,0,8035
150080,2014,2085,8282
150080,2015,1912,8397
150080,2016,1139,8011
150080,2017,1286,7940
150080,2018,1053,7772
150080,2019,1220,7408
150085,2012,37,530
150085,2013,0,531
150085,2014,77,542
150085,2015,90,600
150085,2016,78,575
150085,2017,130,630
150085,2018,142,656
150085,2019,150,652
150090,2012,43,965
150090,2013,0,1050
150090,2014,67,990
150090,2015,84,954
150090,2016,75,954
150090,2017,73,935
150090,2018,87,901
150090,2019,88,809
150095,2012,50,372
150095,2013,0,418
150095,2014,44,472
150095,2015,40,440
150095,2016,38,395
150095,2017,69,401
150095,2018,50,368
150095,2019,96,425
150100,2012,15,206
150100,2013,0,215
150100,2014,12,194
150100,2015,11,198
150100,2016,18,205
150100,2017,13,160
150100,2018,18,182
150100,2019,15,146
150110,2012,21,465
150110,2013,0,460
150110,2014,20,548
150110,2015,20,556
150110,2016,28,562
150110,2017,28,553
150110,2018,35,582
150110,2019,40,549
