CODMUNRES,ano_nasc,Qtd_Maior35,Qtd_Total
150060,2018,212,2568
150060,2019,212,2371
150070,2012,60,751
150070,2013,61,736
150070,2014,56,737
150070,2015,52,742
150070,2016,80,819
150070,2017,65,855
150070,2018,83,871
150070,2019,69,837
150080,2012,647,8195
150080,2013,644,8035
150080,2014,682,8282
150080,2015,789,8397
150080,2016,830,8011
150080,2017,880,7940
150080,2018,970,7772
150080,2019,966,7408
150085,2012,25,530
150085,2013,24,531
150085,2014,19,542
150085,2015,32,600
150085,2016,36,575
150085,2017,31,630
150085,2018,30,656
150085,2019,33,652
150090,2012,70,965
150090,2013,60,1050
150090,2014,67,990
150090,2015,59,954
150090,2016,52,954
150090,2017,58,935
150090,2018,71,901
150090,2019,56,809
150095,2012,28,372
150095,2013,28,418
150095,2014,31,472
150095,2015,24,440
150095,2016,23,395
150095,2017,19,401
150095,2018,30,368
150095,2019,34,425
150100,2012,12,206
150100,2013,13,215
150100,2014,11,194
150100,2015,13,198
150100,2016,14,205
150100,2017,11,160
150100,2018,9,182
150100,2019,11,146
150110,2012,32,465
150110,2013,40,460
150110,2014,46,548
150110,2015,45,556
150110,2016,38,562
150110,2017,48,553
150110,2018,45,582
150110,2019,48,549
150120,2012,30,538
