CODMUNRES,ano_nasc,Qtd_2Parto,Qtd_Total
130440,2019,90,321
140000,2012,1,2
140000,2013,2,8
140000,2014,3,7
140000,2015,1,3
140000,2016,0,1
140000,2018,0,1
140002,2012,37,308
140002,2013,45,307
140002,2014,37,298
140002,2015,43,339
140002,2016,34,331
140002,2017,44,355
140002,2018,51,433
140002,2019,59,446
140005,2012,54,600
140005,2013,78,601
140005,2014,60,563
140005,2015,49,550
140005,2016,63,620
140005,2017,54,526
140005,2018,61,737
140005,2019,69,711
140010,2012,2591,6358
140010,2013,2713,6350
140010,2014,2843,6755
140010,2015,2968,6719
140010,2016,3044,6749
140010,2017,3024,7043
140010,2018,3469,8163
140010,2019,3653,8936
140015,2012,51,312
140015,2013,60,327
140015,2014,55,325
140015,2015,72,355
140015,2016,87,365
140015,2017,66,377
140015,2018,75,391
140015,2019,82,470
140017,2012,62,315
140017,2013,85,335
140017,2014,106,362
140017,2015,88,327
140017,2016,72,315
140017,2017,90,352
140017,2018,89,337
140017,2019,103,385
140020,2012,102,425
140020,2013,96,424
140020,2014,104,393
140020,2015,120,414
140020,2016,126,381
140020,2017,138,407
140020,2018,107,406
140020,2019,131,445
140023,2012,45,138
140023,2013,51,151
140023,2014,58,154
140023,2015,57,139
140023,2016,74,145
140023,2017,92,183
140023,2018,80,181
140023,2019,101,204
140028,2012,40,173
140028,2013,50,147
140028,2014,47,156
140028,2015,54,169
140028,2016,33,138
140028,2017,47,154
140028,2018,45,138
140028,2019,44,185
140030,2012,84,270
140030,2013,118,351
140030,2014,103,299
140030,2015,114,341
140030,2016,101,308
140030,2017,102,309
140030,2018,120,325
140030,2019,115,372
140040,2012,39,319
140040,2013,52,381
140040,2014,43,376
140040,2015,58,442
140040,2016,64,428
140040,2017,53,415
140040,2018,59,463
140040,2019,81,489
140045,2012,78,327
140045,2013,67,351
140045,2014,78,340
140045,2015,81,361
140045,2016,81,357
140045,2017,87,380
140045,2018,95,423
140045,2019,137,556
140047,2012,119,422
140047,2013,137,422
140047,2014,179,442
140047,2015,287,527
140047,2016,346,542
140047,2017,350,563
140047,2018,358,628
140047,2019,310,567
140050,2012,49,116
140050,2013,45,120
140050,2014,42,117
140050,2015,51,117
140050,2016,57,104
140050,2017,69,122
140050,2018,57,119
140050,2019,64,131
140060,2012,30,84
140060,2013,28,80
140060,2014,34,67
140060,2015,47,91
140060,2016,37,83
140060,2017,66,106
140060,2018,42,86
140060,2019,52,107
140070,2012,27,432
140070,2013,50,459
140070,2014,53,466
140070,2015,41,518
140070,2016,39,509
140070,2017,41,445
140070,2018,57,513
140070,2019,65,616
150000,2012,2,4
150000,2013,4,8
150000,2014,1,2
150000,2015,2,2
150000,2016,0,2
150000,2017,1,2
150000,2018,0,1
150000,2019,2,3
150010,2012,1273,2530
150010,2013,1275,2538
150010,2014,1503,2705
150010,2015,1378,2660
150010,2016,1302,2532
150010,2017,1470,2713
150010,2018,1379,2671
150010,2019,1377,2623
150013,2012,35,114
150013,2013,54,129
150013,2014,47,100
150013,2015,80,143
150013,2016,64,117
150013,2017,78,142
150013,2018,67,130
150013,2019,70,132
150020,2012,282,966
150020,2013,347,1039
150020,2014,430,1116
150020,2015,338,936
150020,2016,359,996
150020,2017,352,992
150020,2018,370,1013
150020,2019,361,980
150030,2012,139,805
150030,2013,163,788
150030,2014,143,806
150030,2015,161,871
150030,2016,177,911
150030,2017,185,968
150030,2018,187,1022
150030,2019,241,1014
150034,2012,100,164
150034,2013,103,190
150034,2014,114,182
150034,2015,116,199
150034,2016,100,163
150034,2017,143,215
150034,2018,160,223
150034,2019,171,225
150040,2012,176,1138
150040,2013,159,1126
150040,2014,189,1133
150040,2015,164,1133
150040,2016,154,1031
150040,2017,205,1132
150040,2018,210,1190
150040,2019,251,1194
150050,2012,185,693
150050,2013,204,754
150050,2014,234,801
150050,2015,249,797
150050,2016,195,739
150050,2017,275,745
150050,2018,339,780
150050,2019,315,779
150060,2012,841,2105
150060,2013,1320,2529
150060,2014,1571,2866
150060,2015,1631,2991
150060,2016,1572,2846
150060,2017,1345,2487
150060,2018,1491,2568
150060,2019,1279,2371
150070,2012,90,751
150070,2013,62,736
150070,2014,99,737
150070,2015,158,742
150070,2016,129,819
150070,2017,166,855
150070,2018,97,871
150070,2019,169,837
150080,2012,5193,8195
150080,2013,5411,8035
150080,2014,5721,8282
150080,2015,5473,8397
150080,2016,4888,8011
150080,2017,4431,7940
150080,2018,4505,7772
150080,2019,4406,7408
150085,2012,196,530
150085,2013,206,531
150085,2014,228,542
150085,2015,236,600
150085,2016,248,575
150085,2017,334,630
150085,2018,351,656
150085,2019,369,652
150090,2012,279,965
150090,2013,311,1050
150090,2014,305,990
150090,2015,272,954
150090,2016,269,954
150090,2017,359,935
150090,2018,304,901
150090,2019,300,809
150095,2012,134,372
150095,2013,176,418
150095,2014,204,472
150095,2015,193,440
150095,2016,170,395
150095,2017,175,401
150095,2018,128,368
150095,2019,178,425
150100,2012,48,206
150100,2013,24,215
150100,2014,33,194
150100,2015,36,198
150100,2016,48,205
150100,2017,31,160
150100,2018,47,182
150100,2019,44,146
150110,2012,51,465
150110,2013,51,460
