CODMUNRES,ano_nasc,Qtd_Ao_Menos_1_Consulta_Pre_Natal,Qtd_Total
130440,2018,306,313
130440,2019,319,321
140000,2012,2,2
140000,2013,0,8
140000,2014,6,7
140000,2015,3,3
140000,2016,1,1
140000,2018,1,1
140002,2012,268,308
140002,2013,0,307
140002,2014,255,298
140002,2015,288,339
140002,2016,278,331
140002,2017,273,355
140002,2018,375,433
140002,2019,368,446
140005,2012,562,600
140005,2013,0,601
140005,2014,446,563
140005,2015,440,550
140005,2016,456,620
140005,2017,385,526
140005,2018,532,737
140005,2019,528,711
140010,2012,6131,6358
140010,2013,0,6350
140010,2014,6572,6755
140010,2015,6530,6719
140010,2016,6581,6749
140010,2017,6847,7043
140010,2018,7752,8163
140010,2019,8432,8936
140015,2012,288,312
140015,2013,0,327
140015,2014,301,325
140015,2015,334,355
140015,2016,344,365
140015,2017,351,377
140015,2018,375,391
140015,2019,451,470
140017,2012,289,315
140017,2013,0,335
140017,2014,340,362
140017,2015,310,327
140017,2016,299,315
140017,2017,338,352
140017,2018,311,337
140017,2019,361,385
140020,2012,391,425
140020,2013,0,424
140020,2014,381,393
140020,2015,396,414
140020,2016,363,381
140020,2017,367,407
140020,2018,369,406
140020,2019,419,445
140023,2012,135,138
140023,2013,0,151
140023,2014,153,154
140023,2015,135,139
140023,2016,142,145
140023,2017,180,183
140023,2018,179,181
140023,2019,200,204
140028,2012,154,173
140028,2013,0,147
140028,2014,134,156
140028,2015,145,169
140028,2016,125,138
140028,2017,130,154
140028,2018,118,138
140028,2019,151,185
140030,2012,248,270
140030,2013,0,351
140030,2014,284,299
140030,2015,325,341
140030,2016,297,308
140030,2017,296,309
140030,2018,296,325
140030,2019,350,372
140040,2012,298,319
140040,2013,0,381
140040,2014,359,376
140040,2015,428,442
140040,2016,409,428
140040,2017,400,415
140040,2018,439,463
140040,2019,474,489
140045,2012,306,327
140045,2013,0,351
140045,2014,328,340
140045,2015,347,361
140045,2016,346,357
140045,2017,365,380
140045,2018,390,423
140045,2019,479,556
140047,2012,409,422
140047,2013,0,422
140047,2014,418,442
