CODMUNRES,Ano,Qtd_Total,Pop
130430,2019,96,1532
130440,2012,99,2224
130440,2013,115,2227
130440,2014,103,2222
130440,2015,86,2216
130440,2016,87,2195
130440,2017,109,2170
130440,2018,93,2145
130440,2019,96,2123
140005,2012,178,1711
140005,2013,193,1681
140005,2014,161,1656
140005,2015,187,1619
140005,2016,200,1599
140005,2017,160,1567
140005,2018,252,1523
140005,2019,235,1480
140002,2012,87,1062
140002,2013,103,1116
140002,2014,85,1172
140002,2015,100,1219
140002,2016,106,1242
140002,2017,124,1255
140002,2018,122,1261
140002,2019,137,1268
140010,2012,1450,31364
140010,2013,1408,31636
140010,2014,1573,31936
140010,2015,1424,32027
140010,2016,1415,32191
140010,2017,1368,32693
140010,2018,1525,33533
140010,2019,1695,34369
140015,2012,96,1222
140015,2013,96,1217
140015,2014,102,1214
140015,2015,96,1199
140015,2016,120,1172
140015,2017,110,1135
140015,2018,102,1088
140015,2019,131,1044
140017,2012,104,1604
140017,2013,104,1618
140017,2014,111,1631
140017,2015,87,1632
140017,2016,79,1599
140017,2017,100,1547
140017,2018,85,1480
140017,2019,100,1417
140020,2012,138,2192
140020,2013,134,2185
140020,2014,122,2173
140020,2015,138,2144
140020,2016,125,2085
140020,2017,132,2007
140020,2018,140,1905
140020,2019,118,1810
140023,2012,45,870
140023,2013,36,869
140023,2014,46,871
140023,2015,30,866
140023,2016,40,862
140023,2017,41,849
140023,2018,47,825
140023,2019,44,805
140028,2012,51,1012
140028,2013,46,1029
140028,2014,42,1048
140028,2015,43,1060
140028,2016,41,1064
140028,2017,38,1057
140028,2018,42,1039
140028,2019,45,1022
140030,2012,68,1619
140030,2013,100,1617
140030,2014,82,1622
140030,2015,89,1611
140030,2016,96,1580
140030,2017,87,1532
140030,2018,80,1467
140030,2019,103,1405
140040,2012,96,1148
140040,2013,105,1170
140040,2014,106,1194
140040,2015,133,1210
140040,2016,110,1204
140040,2017,118,1188
140040,2018,159,1164
140040,2019,130,1141
140045,2012,96,1289
140045,2013,112,1304
140045,2014,111,1321
140045,2015,113,1331
140045,2016,108,1324
140045,2017,102,1381
140045,2018,118,1495
140045,2019,138,1603
140047,2012,128,2908
140047,2013,127,2910
140047,2014,132,2910
140047,2015,138,2891
140047,2016,171,2817
140047,2017,140,2699
140047,2018,151,2553
140047,2019,122,2420
140050,2012,28,771
140050,2013,33,778
140050,2014,35,789
140050,2015,27,794
140050,2016,28,786
140050,2017,27,768
140050,2018,26,744
140050,2019,35,718
140060,2012,18,722
140060,2013,16,711
140060,2014,16,700
140060,2015,23,684
140060,2016,19,659
140060,2017,23,624
140060,2018,22,583
140060,2019,18,542
140070,2012,129,1110
140070,2013,136,1132
140070,2014,142,1157
140070,2015,148,1173
140070,2016,153,1184
140070,2017,126,1190
140070,2018,176,1186
140070,2019,159,1184
150010,2012,680,15895
150010,2013,684,15616
150010,2014,666,15313
150010,2015,671,14980
150010,2016,560,14748
150010,2017,572,14482
150010,2018,567,14191
150010,2019,476,13881
150013,2012,32,692
150013,2013,36,690
150013,2014,36,686
150013,2015,36,681
150013,2016,35,672
150013,2017,46,661
150013,2018,40,649
150013,2019,37,637
150020,2012,310,5992
150020,2013,334,5898
150020,2014,319,5799
150020,2015,300,5685
150020,2016,285,5609
150020,2017,278,5522
150020,2018,305,5425
150020,2019,281,5318
150030,2012,247,4464
150030,2013,243,4462
150030,2014,235,4455
150030,2015,256,4438
150030,2016,291,4368
150030,2017,294,4288
150030,2018,298,4201
150030,2019,302,4108
150034,2012,54,2501
150034,2013,44,2537
150034,2014,53,2570
150034,2015,51,2600
150034,2016,50,2570
150034,2017,57,2533
150034,2018,54,2493
150034,2019,50,2450
150040,2012,321,6059
150040,2013,333,5990
150040,2014,318,5913
150040,2015,310,5825
150040,2016,273,5717
150040,2017,275,5596
150040,2018,342,5466
150040,2019,295,5325
150050,2012,213,3806
150050,2013,235,3739
150050,2014,267,3668
150050,2015,266,3588
150050,2016,241,3531
150050,2017,204,3466
150050,2018,236,3395
150050,2019,201,3318
150060,2012,671,10892
150060,2013,724,10929
150060,2014,807,10961
150060,2015,862,10977
150060,2016,732,11000
150060,2017,630,11004
150060,2018,579,10995
150060,2019,503,10969
150070,2012,244,3100
150070,2013,251,3147
150070,2014,219,3191
150070,2015,220,3228
150070,2016,243,3250
150070,2017,251,3266
150070,2018,268,3276
150070,2019,264,3282
