CODMUNRES,ano_nasc,Qtd_4a_serie,Qtd_Total
130420,2019,126,1927
130423,2012,59,348
130423,2013,45,322
130423,2014,45,366
130423,2015,52,391
130423,2016,28,363
130423,2017,34,458
130423,2018,36,435
130423,2019,20,429
130426,2012,42,288
130426,2013,51,304
130426,2014,28,302
130426,2015,34,295
130426,2016,38,264
130426,2017,26,333
130426,2018,22,286
130426,2019,17,351
130430,2012,15,298
130430,2013,8,302
130430,2014,9,284
130430,2015,7,272
130430,2016,4,265
130430,2017,4,270
130430,2018,5,261
130430,2019,3,318
130440,2012,19,321
130440,2013,32,325
130440,2014,18,329
130440,2015,10,282
130440,2016,8,299
130440,2017,11,315
130440,2018,9,313
130440,2019,9,321
140000,2012,0,2
140000,2013,0,8
140000,2014,0,7
140000,2015,0,3
140000,2016,0,1
140000,2018,0,1
140002,2012,150,308
140002,2013,138,307
140002,2014,105,298
140002,2015,71,339
140002,2016,120,331
140002,2017,153,355
140002,2018,206,433
140002,2019,235,446
140005,2012,148,600
140005,2013,159,601
140005,2014,306,563
140005,2015,114,550
140005,2016,272,620
140005,2017,303,526
140005,2018,527,737
140005,2019,454,711
140010,2012,147,6358
140010,2013,138,6350
140010,2014,68,6755
140010,2015,99,6719
140010,2016,93,6749
140010,2017,77,7043
140010,2018,114,8163
140010,2019,114,8936
140015,2012,48,312
140015,2013,38,327
140015,2014,39,325
140015,2015,60,355
140015,2016,39,365
140015,2017,34,377
140015,2018,38,391
140015,2019,27,470
140017,2012,28,315
140017,2013,20,335
140017,2014,18,362
140017,2015,22,327
140017,2016,25,315
140017,2017,15,352
140017,2018,12,337
140017,2019,17,385
140020,2012,69,425
140020,2013,84,424
140020,2014,58,393
140020,2015,31,414
140020,2016,43,381
140020,2017,55,407
140020,2018,77,406
140020,2019,62,445
140023,2012,13,138
140023,2013,7,151
140023,2014,6,154
140023,2015,7,139
140023,2016,3,145
140023,2017,4,183
140023,2018,6,181
140023,2019,3,204
140028,2012,44,173
140028,2013,32,147
140028,2014,36,156
140028,2015,16,169
140028,2016,24,138
140028,2017,36,154
140028,2018,39,138
140028,2019,45,185
140030,2012,33,270
140030,2013,27,351
140030,2014,23,299
140030,2015,18,341
140030,2016,20,308
140030,2017,23,309
140030,2018,39,325
140030,2019,36,372
140040,2012,41,319
140040,2013,39,381
140040,2014,36,376
140040,2015,70,442
140040,2016,50,428
140040,2017,29,415
140040,2018,36,463
140040,2019,19,489
140045,2012,18,327
140045,2013,32,351
140045,2014,37,340
140045,2015,44,361
140045,2016,25,357
140045,2017,14,380
140045,2018,34,423
140045,2019,16,556
140047,2012,28,422
140047,2013,23,422
140047,2014,23,442
140047,2015,34,527
140047,2016,6,542
140047,2017,9,563
140047,2018,17,628
140047,2019,5,567
140050,2012,8,116
140050,2013,6,120
140050,2014,3,117
140050,2015,4,117
140050,2016,2,104
140050,2017,7,122
140050,2018,7,119
140050,2019,1,131
140060,2012,5,84
140060,2013,2,80
140060,2014,3,67
140060,2015,3,91
140060,2016,2,83
140060,2017,3,106
140060,2018,4,86
140060,2019,1,107
140070,2012,68,432
140070,2013,95,459
140070,2014,95,466
140070,2015,171,518
140070,2016,115,509
140070,2017,60,445
140070,2018,80,513
140070,2019,60,616
150000,2012,1,4
150000,2013,1,8
150000,2014,0,2
150000,2015,0,2
150000,2016,0,2
150000,2017,0,2
150000,2018,0,1
150000,2019,0,3
150010,2012,215,2530
150010,2013,156,2538
150010,2014,117,2705
150010,2015,100,2660
150010,2016,99,2532
150010,2017,92,2713
150010,2018,70,2671
150010,2019,234,2623
150013,2012,9,114
150013,2013,10,129
150013,2014,12,100
150013,2015,4,143
150013,2016,10,117
150013,2017,1,142
150013,2018,4,130
150013,2019,4,132
150020,2012,182,966
150020,2013,182,1039
150020,2014,150,1116
150020,2015,107,936
150020,2016,92,996
150020,2017,130,992
150020,2018,78,1013
150020,2019,73,980
150030,2012,280,805
150030,2013,226,788
150030,2014,203,806
150030,2015,179,871
150030,2016,187,911
150030,2017,185,968
150030,2018,159,1022
150030,2019,137,1014
150034,2012,19,164
150034,2013,11,190
150034,2014,16,182
150034,2015,15,199
150034,2016,12,163
150034,2017,9,215
150034,2018,20,223
150034,2019,12,225
150040,2012,182,1138
150040,2013,132,1126
150040,2014,119,1133
150040,2015,102,1133
150040,2016,77,1031
150040,2017,90,1132
150040,2018,98,1190
150040,2019,79,1194
150050,2012,107,693
150050,2013,119,754
150050,2014,102,801
150050,2015,97,797
150050,2016,84,739
150050,2017,93,745
150050,2018,85,780
150050,2019,89,779
150060,2012,240,2105
150060,2013,242,2529
150060,2014,207,2866
150060,2015,196,2991
150060,2016,257,2846
150060,2017,166,2487
150060,2018,217,2568
150060,2019,130,2371
150070,2012,309,751
150070,2013,220,736
150070,2014,223,737
150070,2015,275,742
150070,2016,264,819
150070,2017,221,855
150070,2018,144,871
150070,2019,109,837
150080,2012,231,8195
150080,2013,148,8035
150080,2014,130,8282
150080,2015,252,8397
150080,2016,114,8011
150080,2017,104,7940
150080,2018,76,7772
150080,2019,59,7408
150085,2012,117,530
150085,2013,105,531
150085,2014,94,542
150085,2015,82,600
150085,2016,87,575
150085,2017,71,630
150085,2018,76,656
150085,2019,46,652
150090,2012,133,965
150090,2013,152,1050
150090,2014,110,990
150090,2015,96,954
150090,2016,60,954
150090,2017,63,935
150090,2018,53,901
150090,2019,34,809
150095,2012,78,372
150095,2013,72,418
150095,2014,77,472
150095,2015,55,440
150095,2016,52,395
150095,2017,38,401
150095,2018,46,368
150095,2019,23,425
150100,2012,22,206
150100,2013,10,215
150100,2014,12,194
150100,2015,8,198
150100,2016,8,205
150100,2017,8,160
150100,2018,7,182
150100,2019,6,146
150110,2012,162,465
150110,2013,156,460
150110,2014,168,548
150110,2015,151,556
150110,2016,149,562
150110,2017,105,553
150110,2018,87,582
150110,2019,66,549
150120,2012,43,538
150120,2013,45,532
