CODMUNRES,ano_nasc,Qtd_5racacormae,Qtd_Total
150080,2015,8,8397
150080,2016,3,8011
150080,2017,5,7940
150080,2018,2,7772
150080,2019,4,7408
150085,2012,2,530
150085,2013,10,531
150085,2014,20,542
150085,2015,32,600
150085,2016,33,575
150085,2017,24,630
150085,2018,30,656
150085,2019,18,652
150090,2012,0,965
150090,2013,0,1050
150090,2014,0,990
150090,2015,0,954
150090,2016,0,954
150090,2017,0,935
150090,2018,0,901
150090,2019,0,809
150095,2012,1,372
150095,2013,0,418
150095,2014,0,472
150095,2015,0,440
150095,2016,0,395
150095,2017,0,401
150095,2018,0,368
150095,2019,0,425
150100,2012,0,206
150100,2013,2,215
150100,2014,1,194
150100,2015,0,198
150100,2016,3,205
150100,2017,0,160
150100,2018,5,182
150100,2019,2,146
150110,2012,0,465
150110,2013,0,460
150110,2014,0,548
150110,2015,0,556
150110,2016,0,562
150110,2017,0,553
150110,2018,0,582
150110,2019,0,549
150120,2012,1,538
