CODMUNRES,ano_nasc,Qtd_Robson10,Qtd_Robson9,Qtd_Robson8,Qtd_Robson7,Qtd_Robson6,Qtd_Robson5,Qtd_Robson4,Qtd_Robson3,Qtd_Robson2,Qtd_Robson1,Qtd_cesariana,Qtd_Total
210880,2018,9.0,3.0,6.0,2.0,1.0,39.0,8.0,18.0,10.0,54.0,152.0,290
210880,2019,6.0,1.0,0.0,3.0,3.0,53.0,5.0,17.0,25.0,32.0,146.0,282
210890,2012,20.0,1.0,2.0,10.0,4.0,42.0,4.0,17.0,3.0,62.0,167.0,259
210890,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,258
210890,2014,10.0,1.0,4.0,2.0,1.0,52.0,5.0,22.0,10.0,60.0,172.0,269
210890,2015,8.0,1.0,6.0,1.0,0.0,64.0,5.0,22.0,21.0,37.0,175.0,273
210890,2016,15.0,0.0,0.0,0.0,1.0,61.0,2.0,21.0,13.0,44.0,160.0,236
210890,2017,9.0,0.0,4.0,2.0,1.0,71.0,13.0,11.0,29.0,32.0,177.0,258
210890,2018,11.0,0.0,0.0,2.0,1.0,49.0,1.0,15.0,8.0,39.0,128.0,210
210890,2019,7.0,0.0,2.0,1.0,1.0,60.0,1.0,18.0,5.0,63.0,160.0,243
210900,2012,23.0,0.0,2.0,4.0,8.0,78.0,13.0,38.0,14.0,81.0,265.0,441
210900,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0,442
210900,2014,8.0,1.0,4.0,6.0,1.0,84.0,38.0,12.0,71.0,29.0,258.0,431
210900,2015,9.0,1.0,2.0,3.0,3.0,100.0,17.0,36.0,21.0,59.0,260.0,418
210900,2016,18.0,3.0,6.0,4.0,6.0,90.0,21.0,38.0,34.0,57.0,283.0,420
210900,2017,19.0,1.0,6.0,5.0,1.0,86.0,8.0,44.0,10.0,66.0,249.0,430
210900,2018,24.0,0.0,11.0,6.0,5.0,105.0,9.0,46.0,8.0,109.0,327.0,475
210900,2019,20.0,0.0,10.0,3.0,1.0,103.0,2.0,59.0,7.0,78.0,290.0,426
210905,2012,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,65
210905,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,85
210905,2014,2.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,11.0,73
210905,2015,0.0,0.0,0.0,2.0,0.0,5.0,1.0,3.0,0.0,5.0,16.0,65
210905,2016,1.0,0.0,2.0,0.0,0.0,5.0,1.0,4.0,1.0,2.0,16.0,78
210905,2017,2.0,0.0,2.0,1.0,2.0,5.0,0.0,3.0,1.0,5.0,21.0,66
210905,2018,2.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,14.0,76
210905,2019,2.0,0.0,0.0,0.0,1.0,5.0,2.0,5.0,0.0,3.0,22.0,80
210910,2012,22.0,5.0,11.0,3.0,5.0,49.0,1.0,3.0,20.0,29.0,365.0,717
210910,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.0,802
