CODMUNRES,Ano,Qtd_Morte_Materna,Qtd_Total,Ratio
130014,2012,0.0,195.0,0.0
130014,2013,0.0,223.0,0.0
130014,2014,0.0,223.0,0.0
130014,2015,0.0,230.0,0.0
130014,2016,0.0,226.0,0.0
130014,2017,0.0,243.0,0.0
130014,2018,0.0,241.0,0.0
130014,2019,0.0,247.0,0.0
130020,2012,1.0,357.0,280.1120448179272
130020,2013,0.0,354.0,0.0
130020,2014,1.0,435.0,229.88505747126436
130020,2015,0.0,496.0,0.0
130020,2016,0.0,399.0,0.0
130020,2017,1.0,402.0,248.75621890547262
130020,2018,1.0,367.0,272.4795640326975
130020,2019,0.0,327.0,0.0
130030,2012,0.0,877.0,0.0
130030,2013,0.0,877.0,0.0
130030,2014,1.0,955.0,104.71204188481677
130030,2015,1.0,930.0,107.52688172043011
130030,2016,0.0,958.0,0.0
130030,2017,0.0,959.0,0.0
130030,2018,0.0,969.0,0.0
130030,2019,0.0,861.0,0.0
130040,2012,1.0,469.0,213.21961620469082
130040,2013,1.0,480.0,208.33333333333334
130040,2014,0.0,419.0,0.0
130040,2015,0.0,570.0,0.0
130040,2016,1.0,517.0,193.42359767891682
130040,2017,0.0,548.0,0.0
130040,2018,0.0,620.0,0.0
130040,2019,0.0,624.0,0.0
130050,2012,0.0,707.0,0.0
130050,2013,2.0,769.0,260.0780234070221
130050,2014,0.0,756.0,0.0
130050,2015,0.0,857.0,0.0
130050,2016,1.0,837.0,119.47431302270012
130050,2017,0.0,875.0,0.0
130050,2018,0.0,793.0,0.0
130050,2019,2.0,789.0,253.48542458808618
130060,2012,2.0,1053.0,189.9335232668566
130060,2013,0.0,1036.0,0.0
130060,2014,2.0,1077.0,185.70102135561746
130060,2015,1.0,1157.0,86.4304235090752
130060,2016,0.0,1096.0,0.0
130060,2017,0.0,1011.0,0.0
130060,2018,0.0,934.0,0.0
130060,2019,3.0,1012.0,296.44268774703556
130063,2012,2.0,427.0,468.384074941452
130063,2013,1.0,428.0,233.64485981308408
130063,2014,0.0,488.0,0.0
130063,2015,0.0,511.0,0.0
130063,2016,0.0,537.0,0.0
130063,2017,0.0,584.0,0.0
130063,2018,1.0,508.0,196.8503937007874
130063,2019,1.0,558.0,179.21146953405017
130068,2012,0.0,260.0,0.0
130068,2013,0.0,321.0,0.0
130068,2014,0.0,328.0,0.0
130068,2015,1.0,361.0,277.0083102493075
130068,2016,0.0,393.0,0.0
130068,2017,1.0,345.0,289.8550724637681
130068,2018,1.0,338.0,295.85798816568047
130068,2019,1.0,345.0,289.8550724637681
130070,2012,0.0,741.0,0.0
130070,2013,0.0,763.0,0.0
130070,2014,0.0,734.0,0.0
130070,2015,0.0,717.0,0.0
130070,2016,0.0,674.0,0.0
130070,2017,0.0,753.0,0.0
130070,2018,0.0,708.0,0.0
130070,2019,1.0,698.0,143.26647564469914
130080,2012,0.0,690.0,0.0
130080,2013,0.0,705.0,0.0
130080,2014,0.0,711.0,0.0
130080,2015,1.0,690.0,144.92753623188406
130080,2016,0.0,605.0,0.0
130080,2017,0.0,792.0,0.0
130080,2018,1.0,727.0,137.5515818431912
130080,2019,0.0,738.0,0.0
130083,2012,0.0,138.0,0.0
130083,2013,1.0,203.0,492.61083743842363
130083,2014,0.0,204.0,0.0
130083,2015,0.0,173.0,0.0
130083,2016,1.0,178.0,561.7977528089888
130083,2017,0.0,229.0,0.0
130083,2018,0.0,216.0,0.0
130083,2019,0.0,175.0,0.0
130090,2012,0.0,213.0,0.0
