CODMUNRES,ano_nasc,Qtd_Nascimentos_Prematuros,Qtd_Total,Ratio
120035,2017,34.0,388,0.08762886597938144
120035,2018,48.0,407,0.11793611793611794
120035,2019,62.0,448,0.13839285714285715
120035,2020,41.0,334,0.12275449101796407
120038,2012,45.0,353,0.1274787535410765
120038,2013,45.0,334,0.1347305389221557
120038,2014,41.0,322,0.12732919254658384
120038,2015,41.0,350,0.11714285714285715
120038,2016,45.0,339,0.13274336283185842
120038,2017,51.0,305,0.16721311475409836
120038,2018,43.0,309,0.13915857605177995
120038,2019,49.0,318,0.1540880503144654
120038,2020,48.0,285,0.16842105263157894
120039,2012,28.0,338,0.08284023668639054
120039,2013,20.0,287,0.06968641114982578
120039,2014,23.0,250,0.092
120039,2015,30.0,262,0.11450381679389313
120039,2016,25.0,230,0.10869565217391304
120039,2017,26.0,282,0.09219858156028368
120039,2018,39.0,254,0.15354330708661418
120039,2019,27.0,270,0.1
120039,2020,44.0,287,0.15331010452961671
120040,2012,928.0,6531,0.14209156331342826
120040,2013,875.0,7116,0.12296233839235525
120040,2014,909.0,7011,0.12965340179717585
120040,2015,960.0,6965,0.13783201722900215
120040,2016,994.0,6614,0.15028726942848503
120040,2017,953.0,6460,0.1475232198142415
120040,2018,955.0,6495,0.147036181678214
120040,2019,987.0,6324,0.15607210626185958
120040,2020,917.0,5745,0.15961705831157527
120042,2012,41.0,390,0.10512820512820513
120042,2013,40.0,363,0.11019283746556474
120042,2014,43.0,394,0.10913705583756345
120042,2015,44.0,396,0.1111111111111111
120042,2016,34.0,304,0.1118421052631579
120042,2017,43.0,366,0.11748633879781421
120042,2018,54.0,394,0.13705583756345177
120042,2019,43.0,334,0.12874251497005987
120042,2020,46.0,347,0.13256484149855907
120043,2012,14.0,259,0.05405405405405406
120043,2013,31.0,223,0.13901345291479822
120043,2014,27.0,185,0.14594594594594595
120043,2015,25.0,150,0.16666666666666666
120043,2016,9.0,95,0.09473684210526316
120043,2017,34.0,198,0.1717171717171717
120043,2018,38.0,207,0.18357487922705315
120043,2019,39.0,186,0.20967741935483872
120043,2020,19.0,149,0.12751677852348994
120045,2012,56.0,396,0.1414141414141414
120045,2013,57.0,425,0.13411764705882354
120045,2014,47.0,453,0.10375275938189846
120045,2015,46.0,443,0.1038374717832957
120045,2016,43.0,410,0.1048780487804878
120045,2017,66.0,395,0.1670886075949367
120045,2018,76.0,476,0.15966386554621848
120045,2019,46.0,417,0.11031175059952038
120045,2020,50.0,401,0.12468827930174564
120050,2012,107.0,929,0.11517761033369214
120050,2013,122.0,904,0.13495575221238937
120050,2014,84.0,827,0.10157194679564692
120050,2015,89.0,847,0.1050767414403778
120050,2016,87.0,762,0.1141732283464567
120050,2017,88.0,780,0.11282051282051282
120050,2018,95.0,788,0.12055837563451777
120050,2019,81.0,768,0.10546875
120050,2020,86.0,668,0.12874251497005987
120060,2012,141.0,1158,0.12176165803108809
