CODMUNRES,Ano,Qtd_Morte_Materna_Direta,Qtd_Total,Ratio
130040,2013,0.0,480,0.0
130040,2014,0.0,419,0.0
130040,2015,0.0,505,0.0
130040,2016,1.0,496,201.61290322580643
130040,2017,0.0,524,0.0
130040,2018,0.0,570,0.0
130040,2019,0.0,556,0.0
130050,2012,0.0,707,0.0
130050,2013,2.0,769,260.0780234070221
130050,2014,0.0,756,0.0
130050,2015,0.0,815,0.0
130050,2016,0.0,810,0.0
130050,2017,0.0,870,0.0
130050,2018,0.0,851,0.0
130050,2019,2.0,857,233.3722287047841
130060,2012,2.0,1053,189.9335232668566
130060,2013,0.0,1036,0.0
130060,2014,1.0,1077,92.85051067780873
130060,2015,0.0,968,0.0
130060,2016,0.0,1021,0.0
130060,2017,0.0,1039,0.0
130060,2018,0.0,985,0.0
130060,2019,1.0,1030,97.08737864077669
130063,2012,0.0,427,0.0
130063,2013,1.0,428,233.64485981308408
130063,2014,0.0,488,0.0
130063,2015,0.0,489,0.0
130063,2016,0.0,510,0.0
130063,2017,0.0,597,0.0
130063,2018,1.0,501,199.6007984031936
130063,2019,0.0,525,0.0
130068,2012,0.0,260,0.0
130068,2013,0.0,321,0.0
130068,2014,0.0,328,0.0
130068,2015,1.0,369,271.00271002710025
130068,2016,0.0,312,0.0
130068,2017,1.0,319,313.4796238244514
130068,2018,1.0,318,314.4654088050315
130068,2019,1.0,330,303.030303030303
130070,2012,0.0,741,0.0
130070,2013,0.0,763,0.0
130070,2014,0.0,734,0.0
130070,2015,0.0,695,0.0
130070,2016,0.0,653,0.0
130070,2017,0.0,771,0.0
130070,2018,0.0,739,0.0
130070,2019,1.0,725,137.9310344827586
130080,2012,0.0,690,0.0
130080,2013,0.0,705,0.0
130080,2014,0.0,711,0.0
130080,2015,1.0,725,137.9310344827586
130080,2016,0.0,663,0.0
130080,2017,0.0,797,0.0
130080,2018,1.0,789,126.74271229404309
130080,2019,0.0,763,0.0
130083,2012,0.0,138,0.0
130083,2013,1.0,203,492.61083743842363
130083,2014,0.0,204,0.0
130083,2015,0.0,173,0.0
130083,2016,1.0,183,546.448087431694
130083,2017,0.0,216,0.0
130083,2018,0.0,188,0.0
130083,2019,0.0,169,0.0
130090,2012,0.0,213,0.0
130090,2013,0.0,196,0.0
130090,2014,1.0,231,432.9004329004329
130090,2015,1.0,219,456.62100456621005
130090,2016,0.0,217,0.0
130090,2017,0.0,191,0.0
130090,2018,1.0,222,450.45045045045043
130090,2019,0.0,192,0.0
130100,2012,0.0,656,0.0
130100,2013,0.0,633,0.0
130100,2014,1.0,658,151.9756838905775
