CODMUNRES,ano_nasc,Qtd_2Racacor,Qtd_Total,Ratio
120043,2016,1.0,95,0.010526315789473684
120043,2017,0.0,198,0.0
120043,2018,0.0,207,0.0
120043,2019,0.0,186,0.0
120043,2020,0.0,149,0.0
120045,2012,3.0,396,0.007575757575757576
120045,2013,2.0,425,0.004705882352941176
120045,2014,4.0,453,0.008830022075055188
120045,2015,13.0,443,0.029345372460496615
120045,2016,8.0,410,0.01951219512195122
120045,2017,10.0,395,0.02531645569620253
120045,2018,3.0,476,0.0063025210084033615
120045,2019,6.0,417,0.014388489208633094
120045,2020,15.0,401,0.03740648379052369
120050,2012,3.0,929,0.0032292787944025836
120050,2013,6.0,904,0.00663716814159292
120050,2014,11.0,827,0.013301088270858524
120050,2015,5.0,847,0.0059031877213695395
120050,2016,5.0,762,0.006561679790026247
120050,2017,0.0,780,0.0
120050,2018,2.0,788,0.0025380710659898475
120050,2019,0.0,768,0.0
120050,2020,3.0,668,0.004491017964071856
120060,2012,2.0,1158,0.0017271157167530224
120060,2013,1.0,1138,0.0008787346221441124
120060,2014,0.0,1230,0.0
120060,2015,5.0,1165,0.004291845493562232
120060,2016,11.0,1078,0.01020408163265306
120060,2017,6.0,1132,0.00530035335689046
120060,2018,9.0,1193,0.0075440067057837385
120060,2019,12.0,1143,0.010498687664041995
120060,2020,14.0,1161,0.012058570198105082
120070,2012,21.0,311,0.06752411575562701
120070,2013,15.0,294,0.05102040816326531
120070,2014,12.0,306,0.0392156862745098
120070,2015,6.0,322,0.018633540372670808
120070,2016,5.0,329,0.015197568389057751
120070,2017,4.0,305,0.013114754098360656
120070,2018,1.0,325,0.003076923076923077
120070,2019,2.0,297,0.006734006734006734
120070,2020,4.0,316,0.012658227848101266
120080,2012,7.0,346,0.02023121387283237
120080,2013,5.0,362,0.013812154696132596
