CODMUNRES,ano_nasc,Qtd_Gravidez,Qtd_Total,Ratio
120013,2013,8.0,202,0.039603960396039604
120013,2014,6.0,242,0.024793388429752067
120013,2015,6.0,248,0.024193548387096774
120013,2016,0.0,248,0.0
120013,2017,4.0,307,0.013029315960912053
120013,2018,12.0,306,0.0392156862745098
120013,2019,11.0,329,0.03343465045592705
120013,2020,10.0,241,0.04149377593360996
120017,2012,6.0,201,0.029850746268656716
120017,2013,4.0,193,0.02072538860103627
120017,2014,4.0,234,0.017094017094017096
120017,2015,0.0,219,0.0
120017,2016,4.0,194,0.020618556701030927
120017,2017,7.0,243,0.02880658436213992
120017,2018,4.0,222,0.018018018018018018
120017,2019,6.0,217,0.027649769585253458
120017,2020,5.0,190,0.02631578947368421
120020,2012,35.0,1741,0.020103388856978748
120020,2013,26.0,1783,0.014582164890633763
120020,2014,29.0,1818,0.01595159515951595
120020,2015,42.0,1839,0.022838499184339316
120020,2016,25.0,1632,0.015318627450980392
120020,2017,30.0,1684,0.017814726840855107
120020,2018,42.0,1756,0.023917995444191344
120020,2019,39.0,1809,0.02155887230514096
120020,2020,37.0,1691,0.02188054405677114
120025,2012,4.0,282,0.014184397163120567
120025,2013,7.0,275,0.025454545454545455
120025,2014,6.0,262,0.022900763358778626
120025,2015,2.0,279,0.007168458781362007
120025,2016,7.0,270,0.025925925925925925
120025,2017,2.0,291,0.006872852233676976
120025,2018,2.0,273,0.007326007326007326
120025,2019,6.0,314,0.01910828025477707
120025,2020,6.0,293,0.020477815699658702
120030,2012,15.0,904,0.016592920353982302
120030,2013,12.0,791,0.015170670037926675
120030,2014,15.0,829,0.018094089264173704
120030,2015,13.0,772,0.01683937823834197
120030,2016,11.0,834,0.013189448441247002
120030,2017,8.0,833,0.009603841536614645
120030,2018,6.0,833,0.007202881152460984
120030,2019,6.0,871,0.006888633754305396
120030,2020,11.0,789,0.01394169835234474
120032,2012,5.0,269,0.01858736059479554
120032,2013,8.0,271,0.02952029520295203
120032,2014,0.0,282,0.0
120032,2015,2.0,273,0.007326007326007326
120032,2016,8.0,263,0.030418250950570342
120032,2017,6.0,266,0.022556390977443608
120032,2018,4.0,274,0.014598540145985401
120032,2019,6.0,218,0.027522935779816515
120032,2020,0.0,205,0.0
