CODMUNRES,ano_nasc,Qtd_Total
150309,2017,545
150309,2018,575
150309,2019,558
150310,2012,647
150310,2013,626
150310,2014,730
150310,2015,691
150310,2016,736
150310,2017,756
150310,2018,764
150310,2019,774
150320,2012,586
150320,2013,621
150320,2014,610
150320,2015,567
150320,2016,550
150320,2017,564
150320,2018,578
150320,2019,557
150330,2012,1156
150330,2013,1155
150330,2014,1166
150330,2015,1114
150330,2016,1055
150330,2017,1047
150330,2018,1079
150330,2019,1144
150340,2012,167
150340,2013,183
150340,2014,166
150340,2015,177
150340,2016,162
150340,2017,175
150340,2018,185
150340,2019,162
150345,2012,569
150345,2013,590
150345,2014,576
150345,2015,576
150345,2016,596
150345,2017,594
150345,2018,626
150345,2019,642
150350,2012,480
150350,2013,464
150350,2014,462
150350,2015,462
150350,2016,437
150350,2017,420
150350,2018,434
150350,2019,456
150360,2012,2095
150360,2013,1615
150360,2014,2167
150360,2015,1950
