CODMUNRES,Ano,Qtd_Obitos_Investigados,Qtd_Total,Ratio
311050,2016,2,10,0.2
311050,2017,2,6,0.3333333333333333
311050,2018,4,8,0.5
311050,2019,0,12,0.0
311060,2012,9,13,0.6923076923076923
311060,2013,0,6,0.0
311060,2014,2,3,0.6666666666666666
311060,2015,11,11,1.0
311060,2016,2,2,1.0
311060,2017,2,6,0.3333333333333333
311060,2018,1,6,0.1666666666666666
311060,2019,0,4,0.0
311070,2012,3,6,0.5
311070,2013,0,3,0.0
311070,2014,0,7,0.0
311070,2015,1,2,0.5
311070,2016,2,3,0.6666666666666666
311070,2017,0,3,0.0
311070,2018,1,4,0.25
311070,2019,0,3,0.0
311080,2013,0,1,0.0
311080,2014,0,2,0.0
311080,2015,0,2,0.0
311080,2016,0,2,0.0
311080,2019,3,5,0.6
311090,2012,1,4,0.25
311090,2013,0,3,0.0
311090,2014,0,2,0.0
311090,2015,0,4,0.0
311090,2016,3,5,0.6
311090,2017,0,4,0.0
311090,2018,2,8,0.25
311090,2019,0,8,0.0
311100,2012,6,6,1.0
311100,2013,5,7,0.7142857142857143
311100,2014,3,9,0.3333333333333333
311100,2015,1,6,0.1666666666666666
311100,2016,3,6,0.5
311100,2017,1,8,0.125
311100,2018,2,5,0.4
311100,2019,0,6,0.0
311110,2012,2,5,0.4
311110,2013,0,4,0.0
311110,2014,2,7,0.2857142857142857
311110,2015,4,8,0.5
311110,2016,2,7,0.2857142857142857
311110,2017,4,5,0.8
311110,2018,0,4,0.0
311110,2019,2,5,0.4
311115,2012,0,1,0.0
311115,2013,0,2,0.0
311115,2014,0,5,0.0
311115,2015,0,3,0.0
311115,2018,0,1,0.0
311120,2012,2,16,0.125
311120,2013,20,23,0.8695652173913043
311120,2014,13,16,0.8125
311120,2015,13,21,0.6190476190476191
311120,2016,14,19,0.7368421052631579
311120,2017,9,17,0.5294117647058824
311120,2018,9,15,0.6
311120,2019,3,16,0.1875
311130,2012,3,6,0.5
311130,2013,1,2,0.5
311130,2014,0,3,0.0
311130,2015,5,5,1.0
311130,2016,1,4,0.25
311130,2017,2,3,0.6666666666666666
311130,2018,3,4,0.75
311130,2019,0,1,0.0
311140,2012,1,2,0.5
311140,2013,3,5,0.6
311140,2014,3,5,0.6
