CODMUNRES,ano_nasc,Qtd_Menor20,Qtd_Total,Ratio
120034,2018,90.0,251,0.35856573705179284
120034,2019,88.0,230,0.3826086956521739
120035,2012,155.0,472,0.3283898305084746
120035,2013,166.0,482,0.34439834024896265
120035,2014,155.0,456,0.3399122807017544
120035,2015,157.0,444,0.3536036036036036
120035,2016,128.0,351,0.3646723646723647
120035,2017,148.0,387,0.38242894056847543
120035,2018,142.0,406,0.3497536945812808
120035,2019,171.0,448,0.38169642857142855
120038,2012,147.0,353,0.4164305949008499
120038,2013,130.0,334,0.38922155688622756
120038,2014,112.0,322,0.34782608695652173
120038,2015,128.0,350,0.3657142857142857
120038,2016,116.0,339,0.3421828908554572
120038,2017,100.0,305,0.32786885245901637
120038,2018,109.0,309,0.35275080906148865
120038,2019,102.0,318,0.32075471698113206
120039,2012,89.0,338,0.26331360946745563
120039,2013,70.0,287,0.24390243902439024
120039,2014,95.0,250,0.38
120039,2015,106.0,262,0.40458015267175573
120039,2016,92.0,230,0.4
120039,2017,110.0,282,0.3900709219858156
120039,2018,110.0,253,0.43478260869565216
120039,2019,110.0,270,0.4074074074074074
120040,2012,1905.0,6530,0.29173047473200614
120040,2013,2057.0,7116,0.2890668915120854
120040,2014,2037.0,7009,0.2906263375659866
120040,2015,1940.0,6965,0.2785355348169419
120040,2016,1740.0,6612,0.2631578947368421
120040,2017,1623.0,6460,0.25123839009287924
120040,2018,1521.0,6495,0.23418013856812933
120040,2019,1423.0,6322,0.22508699778551092
120042,2012,133.0,390,0.34102564102564104
120042,2013,119.0,363,0.3278236914600551
120042,2014,133.0,394,0.33756345177664976
120042,2015,141.0,396,0.3560606060606061
120042,2016,119.0,304,0.39144736842105265
120042,2017,128.0,366,0.34972677595628415
120042,2018,140.0,394,0.3553299492385787
120042,2019,116.0,334,0.3473053892215569
120043,2012,66.0,257,0.25680933852140075
120043,2013,74.0,222,0.3333333333333333
120043,2014,42.0,181,0.23204419889502761
120043,2015,50.0,148,0.33783783783783783
120043,2016,33.0,94,0.35106382978723405
120043,2017,78.0,198,0.3939393939393939
120043,2018,65.0,206,0.3155339805825243
120043,2019,56.0,182,0.3076923076923077
120045,2012,137.0,396,0.34595959595959597
120045,2013,147.0,425,0.3458823529411765
120045,2014,161.0,453,0.3554083885209713
120045,2015,164.0,443,0.37020316027088035
120045,2016,141.0,410,0.3439024390243902
120045,2017,140.0,395,0.35443037974683544
120045,2018,155.0,476,0.32563025210084034
120045,2019,118.0,417,0.2829736211031175
120050,2012,358.0,929,0.38536060279870826
120050,2013,361.0,904,0.3993362831858407
120050,2014,334.0,827,0.40386940749697703
120050,2015,306.0,847,0.3612750885478158
120050,2016,289.0,761,0.3797634691195795
120050,2017,288.0,780,0.36923076923076925
120050,2018,267.0,788,0.33883248730964466
120050,2019,273.0,768,0.35546875
120060,2012,445.0,1158,0.3842832469775475
120060,2013,448.0,1137,0.3940193491644679
120060,2014,506.0,1230,0.4113821138211382
120060,2015,449.0,1164,0.3857388316151203
120060,2016,440.0,1078,0.40816326530612246
120060,2017,449.0,1132,0.39664310954063603
120060,2018,504.0,1193,0.4224643755238894
120060,2019,468.0,1143,0.4094488188976378
120070,2012,123.0,311,0.3954983922829582
120070,2013,117.0,294,0.3979591836734694
120070,2014,133.0,306,0.434640522875817
120070,2015,125.0,322,0.38819875776397517
120070,2016,116.0,329,0.3525835866261398
120070,2017,107.0,305,0.35081967213114756
120070,2018,115.0,325,0.35384615384615387
120070,2019,91.0,297,0.3063973063973064
120080,2012,134.0,346,0.3872832369942196
120080,2013,133.0,362,0.3674033149171271
120080,2014,122.0,368,0.33152173913043476
120080,2015,131.0,358,0.3659217877094972
120080,2016,115.0,356,0.32303370786516855
120080,2017,159.0,430,0.3697674418604651
120080,2018,135.0,392,0.34438775510204084
120080,2019,132.0,379,0.3482849604221636
130000,2012,4.0,8,0.5
